"";"extraversion ";"agreeableness ";"conscientiousness ";"neuroticism ";"openness ";"V192 ";"V193 ";"V194 ";"V195 ";"V196 ";"V197 ";"sciatts "
"extraversion";" 1.00   ";"-0.12***";" 0.06***";"-0.12***";" 0.19***";" 0.01   ";" 0.03   ";" 0.05** ";" 0.03   ";" 0.04*  ";" 0.04*  ";" 0.06***"
"agreeableness";"-0.12***";" 1.00   ";" 0.17***";"-0.17***";" 0.01   ";" 0.05***";" 0.05** ";"-0.01   ";" 0.03   ";" 0.00   ";" 0.06***";" 0.04** "
"conscientiousness";" 0.06***";" 0.17***";" 1.00   ";"-0.10***";" 0.04** ";" 0.05** ";" 0.07***";"-0.02   ";"-0.02   ";" 0.08***";" 0.05** ";" 0.05** "
"neuroticism";"-0.12***";"-0.17***";"-0.10***";" 1.00   ";"-0.05** ";"-0.13***";"-0.10***";"-0.06***";"-0.11***";"-0.04*  ";"-0.11***";"-0.14***"
"openness";" 0.19***";" 0.01   ";" 0.04** ";"-0.05** ";" 1.00   ";" 0.09***";" 0.08***";" 0.05** ";" 0.06***";" 0.14***";" 0.08***";" 0.14***"
"V192";" 0.01   ";" 0.05***";" 0.05** ";"-0.13***";" 0.09***";" 1.00   ";" 0.74***";" 0.17***";" 0.20***";" 0.20***";" 0.48***";" 0.68***"
"V193";" 0.03   ";" 0.05** ";" 0.07***";"-0.10***";" 0.08***";" 0.74***";" 1.00   ";" 0.13***";" 0.13***";" 0.19***";" 0.46***";" 0.64***"
"V194";" 0.05** ";"-0.01   ";"-0.02   ";"-0.06***";" 0.05** ";" 0.17***";" 0.13***";" 1.00   ";" 0.45***";" 0.24***";" 0.17***";" 0.63***"
"V195";" 0.03   ";" 0.03   ";"-0.02   ";"-0.11***";" 0.06***";" 0.20***";" 0.13***";" 0.45***";" 1.00   ";" 0.22***";" 0.21***";" 0.63***"
"V196";" 0.04*  ";" 0.00   ";" 0.08***";"-0.04*  ";" 0.14***";" 0.20***";" 0.19***";" 0.24***";" 0.22***";" 1.00   ";" 0.19***";" 0.58***"
"V197";" 0.04*  ";" 0.06***";" 0.05** ";"-0.11***";" 0.08***";" 0.48***";" 0.46***";" 0.17***";" 0.21***";" 0.19***";" 1.00   ";" 0.62***"
"sciatts";" 0.06***";" 0.04** ";" 0.05** ";"-0.14***";" 0.14***";" 0.68***";" 0.64***";" 0.63***";" 0.63***";" 0.58***";" 0.62***";" 1.00   "
